,title,studio,domestic_gross,foreign_gross,year,original_language,popularity,release_date,vote_average,vote_count,production_budget,total_gross,total_profit,roi_percentage
201,The Descendants,FoxS,82600000.0,94700000.0,2011,en,10.444,2011-11-18,6.8,1522,20000000,177300000.0,157300000.0,700.0
202,In Time,Fox,37500000.0,136400000.0,2011,en,18.912,2011-10-28,6.8,6245,35000000,173900000.0,138900000.0,300.0
203,Zookeeper,Sony,80400000.0,89500000.0,2011,en,10.764000000000001,2011-07-08,5.3,886,80000000,169900000.0,89900000.0,100.0
204,The Muppets,BV,88600000.0,76600000.0,2011,en,11.324000000000002,2011-11-23,6.6,831,45000000,165200000.0,120200000.0,200.0
205,Limitless,Rela.,79200000.0,82600000.0,2011,en,19.453,2011-03-08,7.1,6295,27000000,161800000.0,134800000.0,400.0
206,Johnny English Reborn,Uni.,8300000.0,151800000.0,2011,en,15.542,2011-10-21,6.1,1810,45000000,160100000.0,115100000.0,200.0
207,Final Destination 5,WB (NL),42600000.0,115300000.0,2011,en,13.392000000000001,2011-08-12,6.0,1701,40000000,157900000.0,117900000.0,200.0
208,Tower Heist,Uni.,78000000.0,74900000.0,2011,en,12.213,2011-11-04,6.0,1592,85000000,152900000.0,67900000.0,0.0
209,Midnight in Paris,SPC,56800000.0,94300000.0,2011,en,13.171,2011-05-20,7.5,3965,30000000,151100000.0,121100000.0,400.0
210,Happy Feet Two,WB,64000000.0,86400000.0,2011,en,8.131,2011-11-17,5.9,754,135000000,150400000.0,15400000.0,0.0
211,Jack and Jill,Sony,74200000.0,75500000.0,2011,en,11.277000000000001,2011-11-11,4.1,1124,79000000,149700000.0,70700000.0,0.0
212,Friends with Benefits,SGem,55800000.0,93700000.0,2011,en,14.019,2011-07-21,6.6,4637,35000000,149500000.0,114500000.0,300.0
213,No Strings Attached,Par.,70700000.0,78600000.0,2011,en,14.203,2011-01-21,6.2,2612,25000000,149300000.0,124300000.0,400.0
214,Arthur Christmas,Sony,46500000.0,101000000.0,2011,en,12.981,2011-11-23,6.7,692,85000000,147500000.0,62500000.0,0.0
215,Source Code,Sum.,54700000.0,92600000.0,2011,en,13.495,2011-04-01,7.2,4529,32000000,147300000.0,115300000.0,300.0
216,Contagion,WB,75700000.0,59800000.0,2011,en,10.444,2011-09-09,6.3,2128,60000000,135500000.0,75500000.0,100.0
